fecha,estacion,temperatura,precipitacion,vel_Viento,presion_barometrica,dir_viento,humedad_rel,mes,año,nombre_estacion,dir_cardinal,estacion_año,monoxido_nitrogeno
09/10/2019,24,20.8,0.0,1.19,943.0,223.0,49.0,10,2019,Casa de campo,Sur,Otoño,11.0
09/11/2019,24,7.4,0.3,2.45,944.0,248.0,73.0,11,2019,Casa de campo,Suroeste,Otoño,1.0
09/12/2019,24,7.1,0.0,1.12,952.0,237.0,94.0,12,2019,Casa de campo,Suroeste,Invierno,11.0
10/01/2019,24,2.9,0.0,1.06,947.0,205.0,63.0,1,2019,Casa de campo,Sur,Invierno,5.0
10/02/2019,24,7.6,0.0,3.27,949.0,213.0,89.0,2,2019,Casa de campo,Sur,Invierno,1.0
10/03/2019,24,13.3,0.0,1.36,957.0,344.0,61.0,3,2019,Casa de campo,Norte,Primavera,6.0
10/04/2019,24,9.7,0.0,2.16,942.0,299.0,58.0,4,2019,Casa de campo,Oeste,Primavera,1.0
10/05/2019,24,18.5,0.0,3.78,942.0,223.0,69.0,5,2019,Casa de campo,Sur,Primavera,1.0
10/06/2019,24,20.2,0.0,1.78,942.0,277.0,34.0,6,2019,Casa de campo,Oeste,Verano,2.0
10/07/2019,24,25.0,0.0,1.43,944.0,31.0,39.0,7,2019,Casa de campo,Norte,Verano,2.0
10/08/2019,24,24.2,0.0,1.95,945.0,237.0,44.0,8,2019,Casa de campo,Suroeste,Verano,1.0
10/09/2019,24,17.3,0.0,2.16,941.0,292.0,42.0,9,2019,Casa de campo,Oeste,Otoño,1.0
10/10/2019,24,19.8,0.0,1.09,946.0,343.0,54.0,10,2019,Casa de campo,Norte,Otoño,3.0
10/11/2019,24,7.1,0.0,2.06,942.0,306.0,66.0,11,2019,Casa de campo,Oeste,Otoño,2.0
10/12/2019,24,5.2,0.0,0.67,952.0,223.0,94.0,12,2019,Casa de campo,Sur,Invierno,39.0
11/01/2019,24,1.1,0.0,0.79,952.0,307.0,61.0,1,2019,Casa de campo,Oeste,Invierno,20.0
11/02/2019,24,9.2,0.0,1.47,954.0,237.0,59.0,2,2019,Casa de campo,Suroeste,Invierno,2.0
11/03/2019,24,13.7,0.0,1.11,956.0,13.0,58.0,3,2019,Casa de campo,Norte,Primavera,3.0
11/04/2019,24,10.3,0.0,1.21,946.0,343.0,51.0,4,2019,Casa de campo,Norte,Primavera,5.0
11/05/2019,24,20.2,0.0,1.5,947.0,323.0,40.0,5,2019,Casa de campo,Norte,Primavera,2.0
11/06/2019,24,17.4,0.0,2.12,940.0,307.0,33.0,6,2019,Casa de campo,Oeste,Verano,1.0
11/07/2019,24,28.3,0.0,1.48,943.0,359.0,30.0,7,2019,Casa de campo,Norte,Verano,3.0
11/08/2019,24,23.6,0.0,2.73,943.0,222.0,31.0,8,2019,Casa de campo,Sur,Verano,1.0
11/09/2019,24,19.2,0.0,2.65,947.0,5.0,42.0,9,2019,Casa de campo,Norte,Otoño,1.0
11/10/2019,24,19.9,0.0,0.97,946.0,125.0,63.0,10,2019,Casa de campo,Este,Otoño,6.0
11/11/2019,24,7.9,0.0,1.09,942.0,225.0,76.0,11,2019,Casa de campo,Sur,Otoño,7.0
11/12/2019,24,5.7,0.1,1.44,947.0,186.0,82.0,12,2019,Casa de campo,Sur,Invierno,14.0
12/01/2019,24,2.0,0.0,0.73,955.0,254.0,70.0,1,2019,Casa de campo,Suroeste,Invierno,19.0
12/02/2019,24,7.0,0.0,0.92,957.0,14.0,59.0,2,2019,Casa de campo,Norte,Invierno,10.0
12/03/2019,24,12.2,0.0,1.83,953.0,209.0,59.0,3,2019,Casa de campo,Sur,Primavera,9.0
12/04/2019,24,11.1,0.0,1.26,946.0,306.0,51.0,4,2019,Casa de campo,Oeste,Primavera,5.0
12/05/2019,24,18.9,0.0,1.77,951.0,14.0,27.0,5,2019,Casa de campo,Norte,Primavera,1.0
12/06/2019,24,17.0,0.0,1.53,940.0,254.0,32.0,6,2019,Casa de campo,Suroeste,Verano,3.0
12/07/2019,24,30.2,0.0,1.3,943.0,182.0,25.0,7,2019,Casa de campo,Sur,Verano,3.0
12/08/2019,24,21.6,0.0,1.69,946.0,306.0,30.0,8,2019,Casa de campo,Oeste,Verano,1.0
12/09/2019,24,21.7,0.0,2.45,951.0,116.0,43.0,9,2019,Casa de campo,Este,Otoño,1.0
12/10/2019,24,20.9,0.6,1.75,943.0,125.0,57.0,10,2019,Casa de campo,Este,Otoño,2.0
12/11/2019,24,7.9,0.2,1.59,940.0,284.0,72.0,11,2019,Casa de campo,Oeste,Otoño,5.0
12/12/2019,24,6.1,0.9,3.65,943.0,223.0,86.0,12,2019,Casa de campo,Sur,Invierno,1.0
13/01/2019,24,3.0,0.0,0.77,954.0,333.0,73.0,1,2019,Casa de campo,Norte,Invierno,17.0
13/02/2019,24,6.8,0.0,0.74,956.0,158.0,64.0,2,2019,Casa de campo,Sureste,Invierno,18.0
13/03/2019,24,11.1,0.0,1.71,953.0,307.0,49.0,3,2019,Casa de campo,Oeste,Primavera,1.0
13/04/2019,24,12.5,0.0,1.33,946.0,106.0,41.0,4,2019,Casa de campo,Este,Primavera,3.0
13/05/2019,24,21.3,0.0,1.45,946.0,48.0,24.0,5,2019,Casa de campo,Noreste,Primavera,4.0
13/06/2019,24,20.2,0.0,2.22,937.0,133.0,38.0,6,2019,Casa de campo,Este,Verano,2.0
13/07/2019,24,29.4,1.0,2.45,942.0,13.0,30.0,7,2019,Casa de campo,Norte,Verano,2.0
13/08/2019,24,22.5,0.0,1.74,947.0,348.0,33.0,8,2019,Casa de campo,Norte,Verano,1.0
13/09/2019,24,18.5,4.9,1.91,951.0,28.0,62.0,9,2019,Casa de campo,Norte,Otoño,1.0
13/10/2019,24,17.9,0.5,1.34,942.0,307.0,71.0,10,2019,Casa de campo,Oeste,Otoño,2.0
13/11/2019,24,11.8,3.3,2.81,935.0,223.0,76.0,11,2019,Casa de campo,Sur,Otoño,5.0
13/12/2019,24,12.3,0.0,3.59,940.0,254.0,72.0,12,2019,Casa de campo,Suroeste,Invierno,1.0
14/01/2019,24,4.8,0.0,0.79,950.0,306.0,73.0,1,2019,Casa de campo,Oeste,Invierno,92.0
14/02/2019,24,6.5,0.0,0.89,957.0,1.0,64.0,2,2019,Casa de campo,Norte,Invierno,10.0
14/03/2019,24,9.1,0.0,1.16,956.0,237.0,51.0,3,2019,Casa de campo,Suroeste,Primavera,8.0
14/04/2019,24,16.7,0.0,1.65,945.0,223.0,49.0,4,2019,Casa de campo,Sur,Primavera,2.0
14/05/2019,24,20.9,0.0,1.51,944.0,116.0,27.0,5,2019,Casa de campo,Este,Primavera,3.0
14/06/2019,24,19.4,0.0,3.26,940.0,223.0,29.0,6,2019,Casa de campo,Sur,Verano,1.0
14/07/2019,24,26.7,0.0,1.62,941.0,83.0,41.0,7,2019,Casa de campo,Noreste,Verano,1.0
14/08/2019,24,25.0,0.0,1.41,947.0,205.0,27.0,8,2019,Casa de campo,Sur,Verano,2.0
14/09/2019,24,17.4,8.3,1.56,949.0,343.0,80.0,9,2019,Casa de campo,Norte,Otoño,1.0
14/10/2019,24,14.9,0.5,3.13,939.0,223.0,73.0,10,2019,Casa de campo,Sur,Otoño,1.0
14/11/2019,24,7.2,0.7,2.36,931.0,223.0,80.0,11,2019,Casa de campo,Sur,Otoño,1.0
14/12/2019,24,8.6,0.0,2.6,943.0,225.0,87.0,12,2019,Casa de campo,Sur,Invierno,1.0
